HDI rank,Country,2013 Human Development Index (HDI) Value ,2013 Inequality-adjusted HDI (IHDI) Value,2013 Inequality-adjusted HDI (IHDI) Overall loss (%),2013 Inequality-adjusted HDI (IHDI) Difference from HDI rank,2013 Coefficient of human inequality Value,2013 Inequality in life expectancy %,2013 Inequality adjusted life expectancy index value,2013 Inequality in education %,2013 Inequality-adjusted education index value,2013 Inequality in income %,2013 Inequality-adjusted income index value,2003-2012 Income inequality Quintile ratio,2003-2012 Income inequality Palma ratio,2003-2012 Income inequality Gini coefficient
79.0,69,0.744,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,8.4,0.744,21.02168674698795,0.5019636363636363,24.300609756097558,0.5066585365853656,9.792307692307691,2.1817307692307706,40.39057971014495
82.0,144,0.737,0.562,23.7,-9,23.4,13.9,0.726,25.6,0.494,30.6,0.495,13.5,2.9,48.1
83.0,194,0.734,0.667,9.2,18,9.1,10.4,0.669,6.1,0.747,10.9,0.593,3.6,0.9,25.6
84.0,18,0.732,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,11.4,0.734,21.02168674698795,0.5019636363636363,37.9,0.426,17.6,2.1817307692307706,53.1
84.0,184,0.732,0.633,13.6,7,13.3,7.6,0.785,10.6,0.574,21.8,0.563,10,2.3,43.6
86.0,22,0.731,0.653,10.6,13,10.4,6.7,0.809,5.2,0.621,19.2,0.555,6.5,1.5,36.2
87.0,8,0.73,0.655,10.4,15,10.2,12.7,0.733,3.7,0.675,14.3,0.567,4.6,1.2,31.3
88.0,60,0.724,0.613,15.3,6,15.1,12.3,0.672,10.5,0.686,22.6,0.5,8,2.2,42.8
89.0,183,0.722,0.573,20.7,-2,20,9.8,0.755,16.1,0.51,34,0.488,6.9,1.8,39.4
90.0,189,0.721,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,10.6,0.768,21.02168674698795,0.5019636363636363,24.300609756097558,0.5066585365853656,6.4,1.5,36.1
91.0,36,0.719,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,9.8,0.768,21.02168674698795,0.5019636363636363,29.5,0.505,10.1,2.1,42.1
91.0,154,0.719,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,12.9,0.703,21.02168674698795,0.5019636363636363,24.300609756097558,0.5066585365853656,9.792307692307691,2.1817307692307706,40.39057971014495
93.0,2,0.717,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,16.7,0.654,21.02168674698795,0.5019636363636363,24.300609756097558,0.5066585365853656,9.792307692307691,2.1817307692307706,40.39057971014495
93.0,49,0.717,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,17.737373737373737,0.6512676767676766,21.02168674698795,0.5019636363636363,24.300609756097558,0.5066585365853656,9.792307692307691,2.1817307692307706,40.39057971014495
95.0,1,0.716,0.62,13.4,11,13.4,9.9,0.796,11.9,0.536,18.3,0.558,5.3,1.4,34.5
96.0,87,0.715,0.579,19,1,18.6,15,0.7,10.6,0.598,30.1,0.465,9.6,2.1817307692307706,45.5
97.0,153,0.714,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,9.9,0.76,21.02168674698795,0.5019636363636363,24.300609756097558,0.5066585365853656,9.792307692307691,2.1817307692307706,40.39057971014495
98.0,37,0.711,0.521,26.7,-10,25.7,13.5,0.719,22.1,0.469,41.5,0.42,20.1,4.5,55.9
98.0,52,0.711,0.549,22.7,-3,22.4,13.4,0.752,21.6,0.466,32.1,0.472,12.5,3.1,49.3
100.0,176,0.705,0.534,24.2,-6,23.5,13.6,0.678,19.5,0.474,37.3,0.475,17.9,2.1817307692307706,52.9
100.0,187,0.705,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,13.7,0.699,21.02168674698795,0.5019636363636363,24.300609756097558,0.5066585365853656,9.792307692307691,2.1817307692307706,40.39057971014495
102.0,50,0.7,0.535,23.6,-4,23.4,16.9,0.683,24,0.449,29.3,0.5,11.3,2.7,47.2
93.81283422459893,118,0.614,0.457,25.6,-0.12413793103448276,25.2,21.9,0.575,35.1,0.331,18.6,0.502,9.792307692307691,2.1817307692307706,40.39057971014495
103.0,112,0.698,0.521,25.4,-7,24.2,8.1,0.819,41.2,0.322,23.2,0.535,6.8,2.1817307692307706,37.4
103.0,123,0.698,0.618,11.5,16,11.4,16.6,0.61,5.2,0.658,12.3,0.588,6.2,1.6,36.5
103.0,191,0.698,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,26,0.517,21.02168674698795,0.5019636363636363,24.300609756097558,0.5066585365853656,9.792307692307691,2.1817307692307706,40.39057971014495
106.0,155,0.694,0.5453164556962021,21.44303797468356,-0.12413793103448276,21.010126582278488,13.3,0.709,21.02168674698795,0.5019636363636363,24.300609756097558,0.5066585365853656,9.792307692307691,2.1817307692307706,40.39057971014495
107.0,140,0.686,0.606,11.7,13,11.7,13.1,0.711,6.9,0.617,15,0.507,5.8,1.5,35.5
108.0,81,0.684,0.553,19.2,5,19.1,16.4,0.654,23.2,0.463,17.7,0.559,6.3,1.7,38.1
109.0,23,0.683,0.422,38.2,-21,36.5,21.9,0.533,32.1,0.42,55.5,0.336,9.792307692307691,2.1817307692307706,40.39057971014495
110.0,53,0.682,0.518,24,-5,22.8,13.4,0.682,40.9,0.339,14.2,0.602,4.4,1.2,30.8
111.0,143,0.676,0.513,24.1,-5,23.7,19.2,0.65,17.2,0.486,34.6,0.428,17.3,3.7,52.4
112.0,63,0.674,0.512,24,-5,24,28,0.482,23.5,0.451,20.4,0.617,7.8,2,41.5
113.0,21,0.667,0.47,29.6,-10,29.4,24.5,0.549,27.6,0.488,36.1,0.388,27.8,4.8,56.3
114.0,121,0.663,0.582,12.2,16,12,11,0.67,6.1,0.614,18.9,0.48,5.3,1.3,33
115.0,54,0.662,0.485,26.7,-7,26.2,14.5,0.692,30.2,0.386,34,0.427,14.3,3,48.3
