HDI rank,Country,2013 HDI Value,2013 Life Expectancy at Birth (years),2013 Life Expectancy at Birth (years) Note,2012 Mean years of schooling,2012 Mean years of schooling Note,2012 Expected years of schooling,2012 Expected years of schooling Note,2013 Gross national income (GNI) per capita (2011 PPP $),2013 Gross national income (GNI) per capita (2011 PPP $) Note,2012 Human Development Index (HDI) value,2012-2013 Change in rank
171.0,46,0.452,50.7,-1,4.3,-1,8.9,4,2774.0,-1,0.44799999999999995,0.0
172.0,64,0.441,58.8,-1,2.8,-1,9.1,-1,1557.0,-1,0.43799999999999994,0.0
173.0,58,0.435,63.6,-1,2.4,7,8.5,-1,1303.0,-1,0.429,0.0
174.0,110,0.414,55.3,-1,4.2,-1,10.8,-1,715.0,-1,0.41100000000000003,0.0
175.0,103,0.41200000000000003,60.6,-1,3.9,-1,8.5,4,752.0,-1,0.40700000000000003,0.0
176.0,113,0.40700000000000003,55.0,-1,2.0,0,8.6,-1,1499.0,-1,0.406,0.0
177.0,72,0.396,54.3,-1,2.3,5,9.0,-1,1090.0,-1,0.396,0.0
178.0,126,0.39299999999999996,50.3,-1,3.2,7,9.5,-1,1011.0,-1,0.389,1.0
179.0,71,0.392,56.1,-1,1.6,7,8.7,-1,1142.0,-1,0.391,-1.0
180.0,28,0.389,54.1,-1,2.7,-1,10.1,-1,749.0,-1,0.386,0.0
181.0,27,0.38799999999999996,56.3,-1,1.3,5,7.5,-1,1602.0,-1,0.385,0.0
182.0,56,0.381,62.9,-1,3.4,4,4.1,-1,1147.0,-1,0.38,0.0
183.0,162,0.374,45.6,-1,2.9,-1,7.5,4,1815.0,-1,0.368,1.0
184.0,34,0.37200000000000005,51.2,-1,1.5,6,7.4,-1,1622.0,-1,0.37,-1.0
185.0,33,0.341,50.2,-1,3.5,-1,7.2,-1,588.0,-1,0.365,0.0
186.0,40,0.33799999999999997,50.0,-1,3.1,-1,9.7,-1,444.0,-1,0.33299999999999996,1.0
187.0,134,0.337,58.4,-1,1.4,-1,5.4,-1,873.0,-1,0.335,-1.0
93.81283422459893,93,0.6837600000000001,70.0,-1,7.834500000000004,-1,12.738423645320195,-1,16161.290640394089,-1,0.68181,-0.0427807486631016
93.81283422459893,115,0.6837600000000001,72.6,-1,7.834500000000004,-1,12.738423645320195,-1,4206.0,-1,0.68181,-0.0427807486631016
